Ticker,Sector,Template,Score,View,Conclusion
BMP,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BOT,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BPC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BRS,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BT6,Công nghiệp,Công nghiệp,2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BTD,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BTG,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BTH,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BTN,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BTS,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BTU,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BUD,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BXH,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
BXT,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
C12,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
C32,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
C47,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
C4G,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
C69,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
C92,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CAG,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CAR,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CAV,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CC1,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CC4,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CCC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CCM,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CCP,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CCR,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CCT,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CCV,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CDC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CDG,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CDH,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CDN,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CDO,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CDR,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CE1,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CEE,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CEG,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CFM,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CGV,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CH5,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CHC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CI5,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CIA,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CID,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CIG,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CII,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CIP,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CJC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CKA,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CKD,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CLH,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CLL,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CMC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CMD,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CMI,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CMK,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CMP,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CMS,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CNN,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CPI,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CQN,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CQT,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CRC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CSC,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CT3,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CT6,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CTA,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
CTB,Công nghiệp,Công nghiệp,-2,TRUNG LẬP,Quan điểm định lượng tổng hợp: TRUNG LẬP. Chưa đủ dữ liệu để lượng hóa upside/downside.
